articleCode,onClick,link,title,category,image,legalText,promotionalMarkerText,showPromotionalClubMarker,showPriceMarker,favouritesTracking,favouritesSavedText,favouritesNotSavedText,marketingMarkerText,marketingMarkerType,marketingMarkerCss,price,redPrice,yellowPrice,bluePrice,clubPriceText,sellingAttribute,swatchesTotal,swatches,preAccessStartDate,preAccessEndDate,preAccessGroups,outOfStockText,comingSoon,brandName,damStyleWith,fabric,MODAL,POLYESTER,VISCOSE,LINEN,COTTON,POLYAMIDE,ELASTANE,LYOCELL,ACRYLIC,WOOL,OTHER FIBRES,ACETATE,ELASTOMULTIESTER,MOHAIR,SILK,YAK WOOL,METALLISED FIBRE,CASHMERE,ALPACA,POLYURETHANE,LEATHER,RAMIE,ELASTANE 4%VISCOSE,SUSTAINABLE RECYCLED POLYESTER FROM TEXTILES,SUSTAINABLE RECYCLED POLYESTER,SUSTAINABLE RECYCLED COTTON,SUSTAINABLE RECYCLED POLYAMIDE,SUSTAINABLE ORGANIC COTTON,SUSTAINABLE RECYCLED POLYSTYRENE,SUSTAINABLE RECYCLED WOOL,SUSTAINABLE RECYCLED CASHMERE,Date
1237344001,"setOsaParameters(utag_data.category_id,'SMALL','1237344001'); setNotificationTicket('Oy9wbHAvcHJvZHVjdC1saXN0LXdpdGgtY291bnQvcHJvZHVjdC1saXN0OyM7cHJvZHVjdF9rZXk7MTIzNzM0NF9ncm91cF8wMDFfZW5fZ2I7MTIzNzM0NDAwMV9lbl9nYjtPQkpFQ1RJVkUkO05PTkU6Tk9ORTs0NTs','1237344001');",/en_gb/productpage.1237344001.html,Modal-blend utility shirt,ladies_shirtsblouses_shirts,"[{'src': '//lp2.hm.com/hmgoepprod?set=source[/13/2e/132eea7a0ff16638373ab569cc5e70194ea4173d.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'dataAltImage': '//lp2.hm.com/hmgoepprod?set=source[/a6/ff/a6ff60ad791e534f448fff1c7b0e2a4719f1bfaf.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]', 'alt': 'Modal-blend utility shirt Model', 'dataAltText': 'Modal-blend utility shirt'}]",,,False,False,Favourites|1237344001|Modal-blend utility shirt|LADIES_NEWARRIVALS : CLOTHING_CLOTHING : VIEWALL_VIEW_ALL,SAVED AS FAVOURITE,SAVE AS FAVOURITE,,,,£18.99,,,,,New Arrival,2,"[{'colorCode': '#AE9E7C', 'articleLink': '/en_gb/productpage.1237344001.html', 'colorName': 'Beige'}, {'colorCode': '#272628', 'articleLink': '/en_gb/productpage.1237344002.html', 'colorName': 'Black'}]",,,[],,,H&M,"1169436003,1223070001",",[Material] Modal 84%, Polyester 16%",84,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20240305-103041
1211789004,"setOsaParameters(utag_data.category_id,'SMALL','1211789004'); setNotificationTicket('Oy9wbHAvcHJvZHVjdC1saXN0LXdpdGgtY291bnQvcHJvZHVjdC1saXN0OyM7cHJvZHVjdF9rZXk7MTIxMTc4OV9ncm91cF8wMDRfZW5fZ2I7MTIxMTc4OTAwNF9lbl9nYjtPQkpFQ1RJVkUkO05PTkU6Tk9ORTs0NTs','1211789004');",/en_gb/productpage.1211789004.html,Linen-blend bomber jacket,ladies_jacketscoats_bomber,"[{'src': '//lp2.hm.com/hmgoepprod?set=source[/17/f0/17f05ceb4e051ff910351f40d135461279267c83.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'dataAltImage': '//lp2.hm.com/hmgoepprod?set=source[/98/3c/983c2563c29f26835d5a0b34fa73f51f36f96c8f.jpg],origin[dam],category[ladies_jacketscoats_bomber],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]', 'alt': 'Linen-blend bomber jacket Model', 'dataAltText': 'Linen-blend bomber jacket'}]",,,False,False,Favourites|1211789004|Linen-blend bomber jacket|LADIES_NEWARRIVALS : CLOTHING_CLOTHING : VIEWALL_VIEW_ALL,SAVED AS FAVOURITE,SAVE AS FAVOURITE,,,,£32.99,,,,,New Arrival,3,"[{'colorCode': '#514E43', 'articleLink': '/en_gb/productpage.1211789004.html', 'colorName': 'Dark khaki green'}, {'colorCode': '#272628', 'articleLink': '/en_gb/productpage.1211789001.html', 'colorName': 'Black'}, {'colorCode': '#DCD6C7', 'articleLink': '/en_gb/productpage.1211789002.html', 'colorName': 'Light beige'}]",,,[],,,H&M,1238489002,",[Shell] Viscose 55%, Linen 45% ,[Lining] Polyester 100% , [Recycled] Recycled polyester from textiles 1%",0,0,55,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20240305-103041
1220335001,"setOsaParameters(utag_data.category_id,'SMALL','1220335001'); setNotificationTicket('Oy9wbHAvcHJvZHVjdC1saXN0LXdpdGgtY291bnQvcHJvZHVjdC1saXN0OyM7cHJvZHVjdF9rZXk7MTIyMDMzNV9ncm91cF8wMDFfZW5fZ2I7MTIyMDMzNTAwMV9lbl9nYjtPQkpFQ1RJVkUkO05PTkU6Tk9ORTs0NTs','1220335001');",/en_gb/productpage.1220335001.html,Rib-knit open-back jumper,ladies_cardigansjumpers_jumpers,"[{'src': '//lp2.hm.com/hmgoepprod?set=source[/f4/94/f49401ce5ee17fc4d6feb7163fa03e046329a203.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'dataAltImage': '//lp2.hm.com/hmgoepprod?set=source[/1d/84/1d84bed08c5290207ffe856f01b72cadd17ae26d.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]', 'alt': 'Rib-knit open-back jumper Model', 'dataAltText': 'Rib-knit open-back jumper'}]",,,False,False,Favourites|1220335001|Rib-knit open-back jumper|LADIES_NEWARRIVALS : CLOTHING_CLOTHING : VIEWALL_VIEW_ALL,SAVED AS FAVOURITE,SAVE AS FAVOURITE,,,,£44.99,,,,,New Arrival,1,"[{'colorCode': '#EEEDE1', 'articleLink': '/en_gb/productpage.1220335001.html', 'colorName': 'Cream'}]",,,[],,,H&M,"1226284002,1237691001",",[Material] Polyester 50%, Cotton 44%, Polyamide 5%, Elastane 1%, [Recycled] Recycled polyester 50%, Recycled cotton 19%",0,50,0,0,44,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,19,0,0,0,0,0,20240305-103041
1224249002,"setOsaParameters(utag_data.category_id,'SMALL','1224249002'); setNotificationTicket('Oy9wbHAvcHJvZHVjdC1saXN0LXdpdGgtY291bnQvcHJvZHVjdC1saXN0OyM7cHJvZHVjdF9rZXk7MTIyNDI0OV9ncm91cF8wMDJfZW5fZ2I7MTIyNDI0OTAwMl9lbl9nYjtPQkpFQ1RJVkUkO05PTkU6Tk9ORTs0NTs','1224249002');",/en_gb/productpage.1224249002.html,Tailored linen trousers,ladies_trousers_linentrousers,"[{'src': '//lp2.hm.com/hmgoepprod?set=source[/fa/ff/faff9cbf6326dd2669d0c6ef6d03118a6c044cd2.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'dataAltImage': '//lp2.hm.com/hmgoepprod?set=source[/b8/e2/b8e2b9a72f7b9db852e8ac3837f3b01830866a46.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]', 'alt': 'Tailored linen trousers Model', 'dataAltText': 'Tailored linen trousers'}]",,,False,False,Favourites|1224249002|Tailored linen trousers|LADIES_NEWARRIVALS : CLOTHING_CLOTHING : VIEWALL_VIEW_ALL,SAVED AS FAVOURITE,SAVE AS FAVOURITE,,,,£54.99,,,,,New Arrival,2,"[{'colorCode': '#272628', 'articleLink': '/en_gb/productpage.1224249002.html', 'colorName': 'Black'}, {'colorCode': '#DDD9C9', 'articleLink': '/en_gb/productpage.1224249001.html', 'colorName': 'Light beige/Pinstriped'}]",,,[],,,H&M,"1170204001,1225832001",",[Shell] Linen 100% ,[Pocket lining] Cotton 100% ",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20240305-103041
1217451002,"setOsaParameters(utag_data.category_id,'SMALL','1217451002'); setNotificationTicket('Oy9wbHAvcHJvZHVjdC1saXN0LXdpdGgtY291bnQvcHJvZHVjdC1saXN0OyM7cHJvZHVjdF9rZXk7MTIxNzQ1MV9ncm91cF8wMDJfZW5fZ2I7MTIxNzQ1MTAwMl9lbl9nYjtPQkpFQ1RJVkUkO05PTkU6Tk9ORTs0NTs','1217451002');",/en_gb/productpage.1217451002.html,Oversized blazer,ladies_blazerswaistcoats_oversized,"[{'src': '//lp2.hm.com/hmgoepprod?set=source[/3e/7c/3e7cef1614299f7290e7467264954754191e2bd4.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'dataAltImage': '//lp2.hm.com/hmgoepprod?set=source[/a0/89/a0897f3ce3f04568f55796fb7982f89379999e08.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]', 'alt': 'Oversized blazer Model', 'dataAltText': 'Oversized blazer'}]",,,False,False,Favourites|1217451002|Oversized blazer|LADIES_NEWARRIVALS : CLOTHING_CLOTHING : VIEWALL_VIEW_ALL,SAVED AS FAVOURITE,SAVE AS FAVOURITE,,,,£37.99,,,,,New Arrival,2,"[{'colorCode': '#D9C46A', 'articleLink': '/en_gb/productpage.1217451002.html', 'colorName': 'Light dusty yellow'}, {'colorCode': '#DCD6C7', 'articleLink': '/en_gb/productpage.1217451001.html', 'colorName': 'Light beige'}]",,,[],,,H&M,"1082904001,1212078002,1219945001",",[Shell] Lyocell 57%, Viscose 40%, Polyamide 3% ,[Lining] Polyester 100% ",0,0,40,0,0,3,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20240305-103041
1224631001,"setOsaParameters(utag_data.category_id,'SMALL','1224631001'); setNotificationTicket('Oy9wbHAvcHJvZHVjdC1saXN0LXdpdGgtY291bnQvcHJvZHVjdC1saXN0OyM7cHJvZHVjdF9rZXk7MTIyNDYzMV9ncm91cF8wMDFfZW5fZ2I7MTIyNDYzMTAwMV9lbl9nYjtPQkpFQ1RJVkUkO05PTkU6Tk9ORTs0NTs','1224631001');",/en_gb/productpage.1224631001.html,Scarf-collared twill dress,ladies_dresses_maxidresses,"[{'src': '//lp2.hm.com/hmgoepprod?set=source[/38/87/3887c4c7b1199aaf5869da65fec678096db87e1c.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'dataAltImage': '//lp2.hm.com/hmgoepprod?set=source[/4d/a4/4da41f578d6eec749e6760bbb1e18c4d0d0dc6e0.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]', 'alt': 'Scarf-collared twill dress Model', 'dataAltText': 'Scarf-collared twill dress'}]",,,False,False,Favourites|1224631001|Scarf-collared twill dress|LADIES_NEWARRIVALS : CLOTHING_CLOTHING : VIEWALL_VIEW_ALL,SAVED AS FAVOURITE,SAVE AS FAVOURITE,,,,£64.99,,,,,New Arrival,1,"[{'colorCode': '#272628', 'articleLink': '/en_gb/productpage.1224631001.html', 'colorName': 'Black'}]",,,[],,,H&M,1202678003,",[Material] Polyester 100%",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20240305-103041
1214568004,"setOsaParameters(utag_data.category_id,'SMALL','1214568004'); setNotificationTicket('Oy9wbHAvcHJvZHVjdC1saXN0LXdpdGgtY291bnQvcHJvZHVjdC1saXN0OyM7cHJvZHVjdF9rZXk7MTIxNDU2OF9ncm91cF8wMDRfZW5fZ2I7MTIxNDU2ODAwNF9lbl9nYjtPQkpFQ1RJVkUkO05PTkU6Tk9ORTs0NTs','1214568004');",/en_gb/productpage.1214568004.html,Wide High Ankle Jeans,ladies_jeans_slim,"[{'src': '//lp2.hm.com/hmgoepprod?set=source[/bc/49/bc49b62d18a07046b5e99c3c758df5996058ff36.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'dataAltImage': '//lp2.hm.com/hmgoepprod?set=source[/7d/4d/7d4d435f4944572cc06769ff95963f8bcc287aed.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]', 'alt': 'Wide High Ankle Jeans Model', 'dataAltText': 'Wide High Ankle Jeans'}]",,,False,False,Favourites|1214568004|Wide High Ankle Jeans|LADIES_NEWARRIVALS : CLOTHING_CLOTHING : VIEWALL_VIEW_ALL,SAVED AS FAVOURITE,SAVE AS FAVOURITE,,,,£19.99,,,,,New Arrival,5,"[{'colorCode': '#FFFFFF', 'articleLink': '/en_gb/productpage.1214568004.html', 'colorName': 'White'}, {'colorCode': '#79829D', 'articleLink': '/en_gb/productpage.1214568001.html', 'colorName': 'Light denim blue'}, {'colorCode': '#79829D', 'articleLink': '/en_gb/productpage.1214568002.html', 'colorName': 'Medium denim blue'}, {'colorCode': '#4C5164', 'articleLink': '/en_gb/productpage.1214568003.html', 'colorName': 'Denim blue'}]",,,[],,,H&M,1157799001,",[Material] Cotton 99%, Elastane 1%, [Recycled] Recycled cotton 19%, Recycled polyester 1%",0,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,20240305-103041
1236058001,"setOsaParameters(utag_data.category_id,'SMALL','1236058001'); setNotificationTicket('Oy9wbHAvcHJvZHVjdC1saXN0LXdpdGgtY291bnQvcHJvZHVjdC1saXN0OyM7cHJvZHVjdF9rZXk7MTIzNjA1OF9ncm91cF8wMDFfZW5fZ2I7MTIzNjA1ODAwMV9lbl9nYjtPQkpFQ1RJVkUkO05PTkU6Tk9ORTs0NTs','1236058001');",/en_gb/productpage.1236058001.html,Twill skirt,ladies_skirts_longskirts,"[{'src': '//lp2.hm.com/hmgoepprod?set=source[/5b/2c/5b2c028c9e646d6efcf876f031339f3f41aafb3b.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'dataAltImage': '//lp2.hm.com/hmgoepprod?set=source[/5e/68/5e688e7c7d8bebc6f3808a98c926bc64793e4c7f.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]', 'alt': 'Twill skirt Model', 'dataAltText': 'Twill skirt'}]",,,False,False,Favourites|1236058001|Twill skirt|LADIES_NEWARRIVALS : CLOTHING_CLOTHING : VIEWALL_VIEW_ALL,SAVED AS FAVOURITE,SAVE AS FAVOURITE,,,,£54.99,,,,,New Arrival,1,"[{'colorCode': '#403C2D', 'articleLink': '/en_gb/productpage.1236058001.html', 'colorName': 'Dark khaki green'}]",,,[],,,H&M,0882925002,",[Shell] Cotton 97%, Elastane 3% ",0,0,0,0,97,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20240305-103041
1229951002,"setOsaParameters(utag_data.category_id,'SMALL','1229951002'); setNotificationTicket('Oy9wbHAvcHJvZHVjdC1saXN0LXdpdGgtY291bnQvcHJvZHVjdC1saXN0OyM7cHJvZHVjdF9rZXk7MTIyOTk1MV9ncm91cF8wMDJfZW5fZ2I7MTIyOTk1MTAwMl9lbl9nYjtPQkpFQ1RJVkUkO05PTkU6Tk9ORTs0NTs','1229951002');",/en_gb/productpage.1229951002.html,Belted utility skirt,Ladies_skirts_highwaisted,"[{'src': '//lp2.hm.com/hmgoepprod?set=source[/c4/ef/c4ef0e140677c3f77c30ec1b31c2fa56fe6d8979.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'dataAltImage': '//lp2.hm.com/hmgoepprod?set=source[/25/32/2532f82c93749f1f68a20358c197c14ed703bfdb.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]', 'alt': 'Belted utility skirt Model', 'dataAltText': 'Belted utility skirt'}]",,,False,False,Favourites|1229951002|Belted utility skirt|LADIES_NEWARRIVALS : CLOTHING_CLOTHING : VIEWALL_VIEW_ALL,SAVED AS FAVOURITE,SAVE AS FAVOURITE,,,,£32.99,,,,,New Arrival,2,"[{'colorCode': '#B0A27A', 'articleLink': '/en_gb/productpage.1229951002.html', 'colorName': 'Beige'}, {'colorCode': '#3D3B3D', 'articleLink': '/en_gb/productpage.1229951003.html', 'colorName': 'Dark brown'}]",,,[],,,H&M,"1000128003,1083015003,1162823002,1207835003,1217451002",",[Material] Cotton 100%",0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20240305-103041
1225832001,"setOsaParameters(utag_data.category_id,'SMALL','1225832001'); setNotificationTicket('Oy9wbHAvcHJvZHVjdC1saXN0LXdpdGgtY291bnQvcHJvZHVjdC1saXN0OyM7cHJvZHVjdF9rZXk7MTIyNTgzMl9ncm91cF8wMDFfZW5fZ2I7MTIyNTgzMjAwMV9lbl9nYjtPQkpFQ1RJVkUkO05PTkU6Tk9ORTs0NTs','1225832001');",/en_gb/productpage.1225832001.html,Linen jacket,ladies_jacketscoats_jackets,"[{'src': '//lp2.hm.com/hmgoepprod?set=source[/f9/aa/f9aa4b2aefde6dcee0cd341d497ec9ecd85a6b48.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'dataAltImage': '//lp2.hm.com/hmgoepprod?set=source[/8e/ba/8eba66beb080792a2381fe68fac7867e69a6dc1b.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]', 'alt': 'Linen jacket Model', 'dataAltText': 'Linen jacket'}]",,,False,False,Favourites|1225832001|Linen jacket|LADIES_NEWARRIVALS : CLOTHING_CLOTHING : VIEWALL_VIEW_ALL,SAVED AS FAVOURITE,SAVE AS FAVOURITE,,,,£64.99,,,,,New Arrival,1,"[{'colorCode': '#272628', 'articleLink': '/en_gb/productpage.1225832001.html', 'colorName': 'Black'}]",,,[],,,H&M,"1170204001,1224249002",",[Shell] Linen 100% ,[Lining] Polyester 100% ",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20240305-103041
